,quadrante,caracteristica
633,D+_R+,Canal_1
634,D-_R+,Canal_2
635,D-_R+,Canal_2
636,D+_R+,Canal_1
637,D+_R+,Canal_2
638,D+_R-,Canal_2
639,D+_R+,Canal_1
640,D+_R-,Canal_1
641,D+_R+,Canal_1
642,D+_R-,Canal_2
643,D+_R-,Canal_2
644,D+_R+,Canal_2
645,D+_R+,Canal_2
646,D-_R+,Canal_2
647,D-_R+,Canal_2
648,D+_R+,Canal_1
649,D+_R+,Canal_1
650,D-_R+,Canal_2
651,D+_R+,Canal_1
652,D-_R+,Canal_2
653,D-_R+,Canal_2
654,D-_R+,Canal_2
655,D-_R+,Canal_1
656,D+_R+,Canal_1
657,D+_R+,Canal_1
658,D+_R+,Canal_2
659,D+_R-,Canal_2
660,D+_R-,Canal_2
661,D+_R+,Canal_2
662,D+_R+,Canal_1
663,D+_R-,Canal_1
664,D+_R+,Canal_1
665,D+_R+,Canal_1
666,D+_R-,Canal_1
667,D+_R+,Canal_2
668,D+_R-,Canal_2
669,D-_R+,Canal_2
670,D+_R+,Canal_1
671,D+_R+,Canal_1
672,D-_R+,Canal_2
673,D-_R+,Canal_2
674,D+_R-,Canal_1
675,D-_R+,Canal_2
676,D+_R-,Canal_1
677,D+_R+,Canal_1
678,D-_R+,Canal_1
679,D-_R+,Canal_2
680,D-_R+,Canal_2
681,D-_R+,Canal_2
682,D-_R+,Canal_2
683,D-_R+,Canal_1
684,D-_R+,Canal_2
685,D+_R+,Canal_1
686,D+_R+,Canal_1
687,D-_R+,Canal_1
688,D+_R+,Canal_1
689,D-_R+,Canal_1
690,D-_R+,Canal_2
691,D-_R+,Canal_2
692,D-_R+,Canal_2
693,D+_R+,Canal_2
694,D+_R-,Canal_2
695,D+_R+,Canal_2
696,D+_R+,Canal_1
697,D+_R+,Canal_1
698,D+_R+,Canal_1
699,D+_R+,Canal_2
700,D+_R-,Canal_2
701,D+_R-,Canal_2
702,D-_R+,Canal_2
703,D+_R+,Canal_1
704,D-_R+,Canal_2
705,D+_R+,Canal_1
706,D+_R+,Canal_1
707,D-_R+,Canal_2
708,D-_R+,Canal_2
709,D-_R+,Canal_2
710,D-_R-,Canal_2
711,D-_R+,Canal_2
712,D-_R-,Canal_2
713,D-_R+,Canal_1
714,D-_R+,Canal_2
715,D-_R-,Canal_2
716,D+_R+,Canal_1
717,D-_R+,Canal_1
718,D-_R-,Canal_2
719,D-_R+,Canal_2
720,D-_R+,Canal_2
721,D-_R-,Canal_2
722,D-_R-,Canal_2
723,D-_R+,Canal_2
724,D-_R+,Canal_1
725,D+_R+,Canal_1
726,D+_R+,Canal_1
727,D+_R+,Canal_2
728,D+_R+,Canal_2
729,D+_R-,Canal_2
730,D+_R-,Canal_2
731,D+_R+,Canal_2
732,D+_R-,Canal_2
733,D+_R+,Canal_1
734,D+_R+,Canal_1
735,D+_R+,Canal_1
736,D+_R+,Canal_1
737,D-_R+,Canal_2
738,D+_R+,Canal_1
739,D+_R+,Canal_1
740,D+_R+,Canal_1
741,D-_R+,Canal_2
742,D-_R+,Canal_2
743,D-_R+,Canal_2
744,D-_R-,Canal_2
745,D-_R-,Canal_2
746,D-_R+,Canal_2
747,D-_R-,Canal_2
748,D-_R-,Canal_2
749,D+_R+,Canal_1
750,D+_R-,Canal_1
751,D-_R-,Canal_1
752,D+_R-,Canal_1
753,D-_R-,Canal_1
754,D+_R-,Canal_1
755,D+_R+,Canal_2
756,D+_R+,Canal_2
757,D+_R-,Canal_1
758,D+_R-,Canal_2
759,D+_R-,Canal_1
760,D+_R+,Canal_1
761,D+_R-,Canal_1
762,D-_R-,Canal_2
763,D+_R-,Canal_1
764,D-_R+,Canal_1
765,D-_R+,Canal_2
766,D-_R+,Canal_2
767,D-_R+,Canal_2
768,D-_R+,Canal_2
769,D+_R-,Canal_1
770,D-_R+,Canal_1
771,D-_R-,Canal_2
772,D+_R-,Canal_1
773,D-_R-,Canal_1
774,D-_R+,Canal_2
775,D-_R+,Canal_2
776,D+_R-,Canal_1
777,D-_R+,Canal_1
778,D-_R-,Canal_2
779,D-_R+,Canal_2
780,D-_R-,Canal_1
781,D+_R-,Canal_1
782,D-_R+,Canal_1
783,D-_R+,Canal_2
784,D-_R-,Canal_1
785,D-_R-,Canal_2
786,D+_R+,Canal_2
787,D+_R+,Canal_2
788,D+_R-,Canal_2
789,D+_R-,Canal_1
790,D+_R+,Canal_1
791,D+_R+,Canal_1
792,D+_R+,Canal_1
793,D-_R-,Canal_2
794,D+_R+,Canal_1
795,D-_R+,Canal_2
796,D-_R+,Canal_2
797,D+_R-,Canal_1
798,D-_R+,Canal_2
799,D-_R+,Canal_2
800,D+_R-,Canal_1
801,D-_R+,Canal_1
802,D-_R-,Canal_2
803,D-_R-,Canal_1
804,D+_R-,Canal_1
805,D+_R+,Canal_2
806,D+_R-,Canal_2
807,D+_R+,Canal_2
808,D+_R+,Canal_1
809,D+_R+,Canal_1
810,D-_R-,Canal_1
811,D-_R+,Canal_2
812,D+_R+,Canal_1
813,D-_R+,Canal_2
814,D+_R-,Canal_1
815,D-_R-,Canal_2
816,D-_R+,Canal_1
817,D+_R-,Canal_1
818,D-_R+,Canal_2
819,D-_R+,Canal_2
820,D-_R-,Canal_1
821,D-_R-,Canal_2
822,D+_R+,Canal_1
823,D+_R+,Canal_1
824,D+_R+,Canal_2
825,D+_R+,Canal_2
826,D+_R-,Canal_2
827,D+_R+,Canal_1
828,D+_R+,Canal_2
829,D+_R-,Canal_1
830,D+_R-,Canal_1
831,D+_R-,Canal_1
832,D+_R+,Canal_1
833,D-_R-,Canal_2
834,D-_R-,Canal_2
835,D-_R+,Canal_2
836,D-_R-,Canal_2
837,D-_R-,Canal_2
838,D-_R+,Canal_2
839,D+_R-,Canal_1
840,D-_R-,Canal_1
841,D+_R-,Canal_1
842,D-_R-,Canal_1
843,D-_R-,Canal_2
844,D-_R-,Canal_2
845,D-_R+,Canal_2
